Humidity,Temperature,Soil,Rainfall,RainTomorrow
71,22,0,1,No
44,22,0,0,No
38,25,0,0,No
45,28,0,0,No
82,32,0,1,No
55,29,0,1,No
49,25,1,0,No
48,29,1,0,No
42,31,1,0,Yes
58,30,0,1,No
48,30,0,0,Yes
89,21,0,1,Yes
76,18,0,1,Yes
65,21,1,1,No
57,24,0,0,Yes
50,27,1,1,No
69,20,1,0,Yes
80,22,1,1,Yes
47,22,1,1,No
45,25,1,0,No
56,29,0,0,No
38,33,0,0,No
54,31,0,0,No
55,31,0,0,No
49,32,0,0,No
45,33,0,0,No
41,33,0,0,No
56,32,0,0,No
49,27,0,0,Yes
78,24,0,1,No
48,24,1,1,No
46,26,1,0,No
44,23,1,0,No
43,28,1,0,No
41,34,1,0,No
41,35,1,0,No
33,37,1,0,No
34,38,1,0,No
43,28,1,0,No
38,28,1,0,No
36,30,0,0,No
52,32,0,0,No
48,34,0,0,No
51,37,0,0,No
40,43,0,0,No
34,32,0,0,No
46,29,0,0,No
35,28,1,0,No
34,32,0,0,No
39,36,0,0,No
36,39,0,0,No
48,38,0,1,No
60,34,1,1,Yes
43,35,1,1,No
41,30,1,0,No
44,34,1,0,No
48,38,1,0,No
48,38,1,0,No
45,40,1,0,No
38,41,1,0,No
37,42,1,0,No
33,42,0,0,No
27,43,0,0,No
32,38,0,1,No
51,37,0,0,No
53,36,0,0,No
48,41,0,0,No
39,42,0,0,No
36,44,0,0,No
20,40,1,0,No
66,31,1,1,No
50,27,1,0,No
45,29,1,0,No
58,21,1,0,Yes
41,29,1,1,No
37,29,1,0,No
50,31,0,0,No
43,31,0,0,No
46,28,0,0,No
44,32,0,0,No
53,34,0,0,No
45,29,0,0,No
63,31,0,0,No
49,33,0,0,No
48,34,0,0,No
54,29,0,0,No
49,31,0,0,No
43,32,1,0,No
53,32,1,0,No
44,34,1,0,No
53,30,1,0,No
53,31,1,0,No
58,31,1,0,No
57,22,1,1,No
60,22,1,0,No
52,24,0,0,No
58,27,0,0,No
54,30,0,0,No
49,31,0,0,No
51,32,0,0,Yes
57,30,0,1,No
52,25,0,0,Yes
82,25,0,1,Yes
82,27,0,1,Yes
62,19,0,1,No
78,21,0,0,No
78,25,0,0,No
76,28,0,0,No
56,30,1,0,No
50,33,1,0,No
47,33,1,0,No
56,30,1,0,No
63,31,1,0,No
62,31,1,0,No
69,22,1,1,Yes
87,29,0,1,No
63,27,0,0,No
60,29,0,0,No
60,31,1,0,No
57,30,0,0,No
61,29,1,0,No
59,30,1,0,No
59,32,1,0,Yes
92,28,1,1,Yes
60,21,1,1,No
72,21,1,0,No
58,21,1,0,No
55,22,1,0,No
60,24,1,0,No
67,25,1,0,No
59,29,1,0,Yes
75,24,1,1,Yes
88,24,1,1,No
65,25,0,0,No
68,25,0,0,No
44,21,0,0,No
65,20,0,0,No
59,21,0,0,No
73,23,0,0,No
54,23,0,0,No
58,22,0,0,No
68,21,0,0,No
73,22,0,0,No
68,22,0,0,No
74,16,0,0,Yes
83,15,1,1,Yes
77,12,1,1,Yes
82,11,1,1,Yes
83,14,0,1,No
62,12,0,0,No
70,16,0,0,No
77,17,0,0,No
81,19,1,0,No
75,18,0,0,No
86,19,1,0,No
71,18,1,0,No
82,19,1,0,No
86,18,1,0,No
68,19,1,0,No
78,20,0,0,No
69,19,0,0,No
89,17,0,0,No
81,18,0,0,No
86,15,0,0,No
77,16,0,0,No
82,16,0,0,Yes
82,16,0,1,No
83,15,0,0,No
82,19,0,0,No
87,19,1,0,No
75,18,1,0,No
81,19,1,0,No
75,19,1,0,No
71,22,1,0,No
69,21,1,0,No
77,20,1,0,Yes
97,18,1,1,No
99,16,1,1,No
91,15,1,0,No
67,16,0,0,No
65,16,0,0,No
73,17,0,0,Yes
88,14,0,1,Yes
78,13,0,1,Yes
85,14,0,1,Yes
99,17,0,1,No
86,16,1,0,No
99,10,0,1,Yes
93,11,0,1,Yes
88,12,0,1,Yes
92,8,0,1,Yes
77,10,1,1,No
84,9,1,0,No
99,8,1,0,No
86,12,1,0,No
82,15,1,0,No
99,14,1,1,No
83,17,1,0,No
94,15,1,0,No
99,14,1,0,No
93,15,0,0,No
85,17,0,0,Yes
99,17,0,1,Yes
99,14,0,1,No
99,15,0,0,Yes
81,14,0,1,No
99,12,0,0,Yes
99,13,0,1,No
79,11,1,0,Yes
98,12,1,1,Yes
91,15,1,1,Yes
78,16,1,1,Yes
85,13,1,1,Yes
88,11,1,1,Yes
82,12,1,1,No
91,13,0,0,No
80,12,0,0,No
99,12,0,0,No
91,12,0,0,No
84,13,0,0,No
84,15,0,1,No
93,13,0,0,No
96,13,0,1,No
77,16,0,1,No
82,13,0,1,Yes
94,11,0,1,Yes
99,12,1,1,No
95,13,1,0,No
88,14,1,1,No
98,12,1,0,No
94,14,1,1,No
95,16,1,1,No
87,17,1,0,No
74,12,1,0,Yes
83,13,0,1,No
87,12,0,0,No
95,12,0,0,No
85,9,0,0,No
99,8,0,0,Yes
89,12,0,1,Yes
98,13,0,1,No
99,12,0,1,Yes
81,14,0,1,No
99,13,0,1,No
94,14,0,1,No
79,13,0,1,No
91,14,0,0,Yes
98,13,1,1,No
99,17,1,1,No
79,13,1,1,Yes
78,12,1,1,No
91,12,1,0,No
72,14,1,1,No
62,17,1,1,Yes
99,14,0,1,No
94,11,0,1,Yes
99,15,0,1,No
99,17,1,1,Yes
79,15,0,1,Yes
73,13,1,1,No
85,15,1,0,No
99,16,1,0,No
78,18,1,0,No
72,14,1,1,Yes
90,14,1,1,Yes
94,18,1,1,Yes
68,17,1,1,Yes
75,12,1,1,Yes
83,14,1,1,No
72,16,1,1,No
87,18,1,0,Yes
81,17,1,1,Yes
77,11,0,1,Yes
90,14,0,1,Yes
96,14,0,1,No
82,16,0,0,No
80,20,0,0,Yes
85,16,0,1,No
81,15,0,0,No
79,16,0,0,No
73,17,0,0,No
90,16,0,0,No
82,14,0,0,No
71,32,0,0,Yes
83,18,1,1,No
70,24,1,0,No
44,22,1,0,No
60,17,0,0,No
68,17,0,0,No
74,21,0,0,No
76,19,0,0,Yes
75,20,1,1,No
98,20,0,0,No
79,18,1,1,No
73,19,1,1,Yes
77,20,1,1,Yes
82,16,1,1,Yes
72,18,1,1,No
60,20,0,0,Yes
79,12,0,1,Yes
78,12,0,1,No
79,17,0,0,No
73,17,0,0,No
75,21,0,0,No
76,21,0,0,No
68,22,0,0,Yes
87,13,0,1,Yes
85,16,0,1,No
85,19,1,1,No
85,16,1,0,Yes
90,15,1,1,No
65,16,1,0,No
63,18,1,0,No
55,19,1,0,No
68,18,1,0,No
88,23,1,0,Yes
70,17,1,1,Yes
88,15,1,1,Yes
79,15,0,1,Yes
77,16,0,1,No
83,19,0,0,No
72,20,0,0,No
78,22,0,0,No
71,26,0,0,No
73,27,0,0,No
67,27,1,0,No
70,23,0,0,No
68,25,0,0,No
68,23,0,0,No
52,22,0,0,No
64,24,1,0,No
67,26,1,0,No
65,26,1,0,No
75,29,1,0,No
65,30,1,0,No
66,34,1,0,No
66,32,1,0,No
46,24,1,0,No
59,23,1,0,No
67,25,0,0,No
55,27,0,0,No
57,29,0,0,No
55,31,0,0,No
48,33,0,0,No
49,35,0,0,No
43,36,0,0,No
49,35,0,0,No
42,32,1,0,No
55,35,1,0,No
57,36,1,0,No
46,35,1,0,No
38,30,1,0,No
53,33,1,0,No
29,39,1,0,No
45,38,0,0,Yes
95,21,0,1,Yes
98,28,0,1,No
63,23,0,1,No
60,25,0,0,No
60,32,0,0,No
48,34,0,0,Yes
82,26,0,1,No
48,26,0,0,Yes
94,22,0,1,Yes
82,23,0,1,No
43,23,1,0,No
48,27,1,0,No
57,31,1,0,No
42,27,1,0,No
44,29,1,0,No
58,30,1,0,No
47,31,1,0,No
58,24,1,0,Yes
64,25,0,1,No
52,27,0,0,No
62,22,0,1,No
52,26,0,0,No
52,29,0,0,No
48,32,0,0,No
51,34,0,0,No
45,38,0,0,No
40,40,0,0,Yes
60,26,0,1,No
45,29,0,0,No
52,31,0,0,No
48,33,0,0,No
44,36,1,0,No
41,38,1,0,No
21,34,1,0,Yes
84,28,1,1,No
56,31,1,0,No
61,27,1,0,No
58,35,1,0,No
46,35,0,0,No
41,36,0,0,No
41,33,0,0,Yes
70,31,1,1,Yes
88,29,0,1,No
57,29,1,0,No
55,32,1,0,No
46,35,1,0,No
49,33,1,0,No
45,33,1,0,No
50,36,1,0,No
48,39,1,0,No
38,42,1,0,No
39,42,1,0,No
48,42,1,1,No
56,28,1,1,Yes
55,31,1,1,No
51,36,1,0,No
50,36,0,0,No
51,25,0,0,No
44,22,0,0,No
47,25,0,0,No
52,32,0,0,No
39,37,0,0,No
40,41,0,0,No
43,35,0,0,No
50,33,0,0,No
47,35,0,0,No
35,35,0,0,No
45,36,0,0,No
51,34,1,0,No
46,35,1,0,No
48,36,1,0,No
39,36,0,0,No
46,38,0,0,Yes
61,34,0,1,No
36,35,0,0,No
51,32,1,0,Yes
83,26,0,1,Yes
55,30,1,1,No
53,33,1,0,No
66,34,1,0,No
58,35,1,0,Yes
64,35,1,1,No
76,35,0,0,Yes
81,29,0,1,No
82,27,0,0,No
80,30,0,0,No
76,26,0,0,No
48,29,0,0,No
66,30,0,0,Yes
33,31,0,1,No
54,30,0,0,No
70,31,0,0,No
71,34,1,1,Yes
83,26,1,1,No
56,26,1,1,No
57,28,1,0,No
61,31,1,0,No
54,32,1,0,Yes
70,26,1,1,Yes
84,29,1,1,No
50,32,1,0,Yes
58,28,1,1,No
61,31,0,0,No
70,32,0,0,No
74,22,0,0,Yes
87,30,0,1,Yes
89,22,0,1,Yes
79,25,0,1,Yes
90,22,0,1,No
69,32,1,0,Yes
56,24,0,1,No
72,25,0,0,No
80,25,0,0,No
75,26,0,0,No
72,26,1,0,No
73,28,1,0,No
76,29,1,0,No
73,30,1,0,No
79,31,1,0,No
77,31,1,0,No
78,25,1,0,No
69,25,1,0,No
79,27,1,0,No
81,28,0,0,No
75,29,0,0,No
80,30,0,0,No
73,30,0,0,No
79,29,0,0,Yes
94,26,0,1,No
91,26,0,1,No
71,26,0,0,No
82,25,1,0,No
78,22,1,0,No
71,24,1,0,No
58,24,1,0,No
76,25,1,0,No
75,24,1,0,Yes
87,23,1,1,Yes
84,23,0,1,No
73,21,0,0,No
84,18,0,1,Yes
86,18,0,1,No
71,17,0,0,No
82,19,0,0,No
81,21,0,0,No
79,23,0,0,No
79,24,0,0,No
74,25,0,0,No
67,22,0,0,No
81,25,1,0,No
79,25,1,0,No
74,27,1,0,No
74,27,1,0,No
89,29,1,0,Yes
95,19,1,1,Yes
72,18,1,1,No
78,17,1,0,No
84,16,0,0,Yes
84,17,0,1,No
79,17,0,1,No
99,19,0,0,No
84,21,0,1,No
97,20,0,0,No
83,23,0,0,No
92,25,0,1,Yes
84,14,0,1,No
78,15,0,0,No
89,17,0,0,No
84,19,0,0,No
99,19,0,0,No
99,19,1,0,No
77,15,1,0,No
81,14,1,0,No
79,17,1,0,No
99,17,1,1,No
83,18,1,0,No
84,17,1,0,No
92,17,0,0,No
90,19,0,0,No
86,18,0,0,No
88,16,1,0,No
92,17,0,0,No
76,17,1,0,No
76,18,1,0,No
74,16,1,0,Yes
88,14,1,1,Yes
71,19,1,1,No
92,16,1,1,No
96,17,1,0,Yes
99,15,1,1,Yes
99,20,1,1,No
54,19,1,0,No
89,16,1,0,No
93,17,1,0,No
79,17,1,0,No
82,18,0,0,No
99,10,0,0,No
97,15,0,0,No
80,14,0,0,No
89,12,0,0,No
81,8,0,0,Yes
85,12,0,1,No
82,13,0,0,No
95,13,0,0,No
83,13,0,0,No
85,13,0,0,No
92,12,0,0,No
91,15,1,0,Yes
82,16,1,1,Yes
88,12,1,1,Yes
95,15,0,1,No
98,13,0,0,No
99,12,0,1,No
94,14,0,0,No
89,16,1,0,No
85,17,0,0,No
83,16,1,0,Yes
86,12,1,1,No
99,11,1,1,No
99,8,1,0,No
71,9,1,0,No
81,9,0,1,Yes
99,11,0,1,No
99,10,0,1,No
99,10,0,0,No
99,10,0,0,No
99,12,0,1,Yes
94,13,0,1,No
99,13,0,0,No
99,14,0,1,No
90,14,0,0,No
96,16,1,0,Yes
99,15,1,1,No
99,15,1,1,No
98,16,1,0,Yes
82,10,1,1,Yes
85,12,1,1,No
99,13,1,0,No
99,11,1,0,No
96,12,1,0,Yes
99,13,1,1,No
99,11,0,1,No
99,12,0,0,No
89,13,0,0,No
99,15,0,0,No
99,14,0,0,No
99,14,0,1,No
99,14,0,1,No
85,15,1,1,No
80,12,0,0,Yes
99,14,0,1,No
91,14,0,0,Yes
100,12,0,1,Yes
86,10,1,1,Yes
85,14,1,1,No
86,15,1,0,No
94,9,1,0,Yes
97,11,1,1,No
99,12,1,1,No
83,13,1,1,No
86,12,1,0,No
79,15,1,0,Yes
86,16,0,1,Yes
96,10,0,1,Yes
91,14,0,1,No
99,15,0,0,No
85,13,0,0,Yes
83,12,0,1,Yes
94,11,0,1,Yes
87,12,0,1,No
92,11,1,1,Yes
85,15,1,1,Yes
82,11,1,1,No
86,12,1,0,No
87,15,1,1,No
91,12,1,1,Yes
90,13,1,1,Yes
87,10,0,1,Yes
84,11,0,1,Yes
75,13,0,1,No
99,14,0,0,No
85,15,0,0,No
84,15,0,0,No
89,14,0,0,No
86,15,0,0,No
92,16,0,1,No
65,17,0,0,Yes
96,17,0,1,Yes
81,14,1,1,Yes
89,12,1,1,Yes
83,15,1,1,No
74,15,1,0,No
76,14,1,0,Yes
91,14,1,1,Yes
88,15,1,1,No
84,16,1,0,No
88,18,0,1,No
76,19,0,0,No
68,13,0,0,No
64,13,0,0,No
76,14,0,1,No
67,13,0,0,No
90,16,0,0,No
79,18,0,0,No
81,19,0,0,No
70,20,0,0,No
76,19,0,0,No
96,19,0,0,No
84,19,0,0,No
75,20,1,0,No
83,20,1,0,No
65,14,1,0,No
66,14,1,0,No
59,14,1,0,No
71,17,1,0,No
61,21,1,0,No
72,23,0,0,No
85,23,0,0,No
78,25,0,0,No
80,24,1,0,Yes
64,15,0,1,No
59,19,1,0,No
83,20,1,0,No
71,23,1,0,No
60,23,1,0,No
91,19,1,1,Yes
92,18,1,1,Yes
92,19,1,1,Yes
93,18,1,1,Yes
72,12,1,1,No
77,15,1,0,No
74,17,1,0,No
78,19,1,0,No
80,21,1,0,No
75,23,0,0,No
77,25,0,0,No
81,19,0,1,Yes
65,22,0,1,No
77,22,0,0,No
80,23,0,0,Yes
81,22,0,1,No
73,23,0,0,No
70,25,0,0,Yes
95,19,0,1,Yes
78,18,0,1,Yes
79,18,0,1,No
73,20,1,0,No
63,18,1,0,No
61,18,1,0,No
53,21,0,0,No
59,22,0,0,No
73,24,0,0,Yes
71,24,0,1,No
69,27,1,0,No
76,29,0,0,No
73,30,1,1,No
60,31,1,0,No
63,26,1,0,Yes
93,22,1,1,Yes
84,23,1,1,No
56,20,0,0,No
65,23,0,0,No
68,24,0,0,No
56,25,0,0,No
63,27,0,0,No
70,29,0,0,No
59,29,0,0,No
49,29,0,0,No
46,30,0,0,No
47,27,0,0,Yes
92,24,1,1,Yes
77,27,1,1,Yes
86,21,1,1,Yes
69,22,1,1,Yes
69,23,1,1,Yes
72,23,1,1,No
70,26,1,1,Yes
71,27,1,1,Yes
65,29,1,1,No
63,31,1,0,No
63,30,0,0,No
50,29,0,0,Yes
82,29,0,1,Yes
85,29,0,1,No
59,22,0,0,No
59,24,0,0,No
54,22,0,0,No
65,26,1,0,No
67,28,0,0,No
57,31,0,0,No
72,25,0,1,No
62,25,0,0,No
64,20,1,1,Yes
71,18,1,1,Yes
79,20,1,1,Yes
68,21,1,1,No
71,25,1,0,No
62,29,1,0,No
47,30,1,0,No
60,29,1,0,No
75,30,1,1,No
57,22,0,0,No
49,29,0,0,No
57,31,0,0,No
55,34,0,0,No
55,38,0,0,No
46,35,0,0,No
45,31,0,1,No
56,29,0,0,No
53,29,1,0,No
57,29,1,0,No
48,31,1,0,No
51,30,1,0,No
66,32,1,0,No
55,33,1,0,Yes
68,32,1,1,Yes
81,26,0,1,Yes
66,29,0,1,Yes
86,30,0,1,Yes
61,25,0,1,Yes
83,31,0,1,No
71,33,0,0,No
70,26,0,0,No
64,27,0,0,No
70,29,0,0,No
63,31,0,0,No
60,32,0,0,No
60,34,1,0,No
53,31,1,0,No
68,30,1,0,No
60,32,1,0,No
63,34,1,0,No
60,31,1,0,No
56,32,1,0,No
59,32,1,0,No
68,35,0,0,No
56,38,0,0,No
57,39,0,0,No
77,33,0,0,Yes
74,36,0,1,Yes
80,28,0,1,Yes
97,23,0,1,Yes
81,21,0,1,No
58,25,0,0,No
66,27,0,0,No
66,29,0,0,No
79,29,0,0,Yes
98,24,0,1,Yes
88,28,1,1,No
73,28,1,0,No
57,29,1,0,No
69,28,1,0,No
80,22,1,1,Yes
90,29,1,1,No
68,30,1,0,Yes
91,29,0,1,Yes
80,25,0,1,No
62,22,0,0,No
53,25,1,0,No
66,28,0,1,No
76,29,1,0,No
75,29,1,0,No
70,31,1,0,No
87,24,1,1,Yes
85,30,1,1,No
82,22,1,0,No
67,23,1,0,No
77,22,1,0,No
79,22,1,0,No
58,25,1,0,No
68,25,1,0,No
73,26,1,0,No
71,29,1,0,No
61,27,0,0,Yes
92,20,0,1,Yes
90,27,0,1,No
88,28,0,1,No
87,29,0,1,Yes
96,26,0,1,No
81,28,0,1,No
87,28,0,1,No
84,25,0,1,No
77,26,0,0,No
74,27,0,0,No
71,28,0,0,No
75,25,1,0,No
82,26,1,0,No
76,20,1,0,Yes
90,22,0,1,No
77,22,0,0,No
67,24,0,0,No
69,23,0,0,No
81,24,1,0,No
86,25,0,0,No
87,25,1,0,No
83,22,1,1,No
81,20,1,0,No
90,22,1,0,No
74,21,1,0,No
85,19,0,1,No
70,18,0,1,No
76,16,0,0,No
96,15,0,0,No
94,16,0,0,No
60,16,0,0,No
69,15,0,0,Yes
83,11,0,1,No
94,10,0,1,Yes
98,14,0,1,Yes
82,14,1,1,No
95,13,1,0,No
99,11,1,0,No
85,15,1,0,No
99,17,1,0,No
91,16,1,0,No
93,18,1,0,No
85,20,1,0,No
94,22,1,0,Yes
88,15,1,1,Yes
85,15,0,1,No
74,14,0,0,No
75,14,0,0,No
99,13,0,0,No
99,13,0,0,No
99,14,0,0,No
76,15,0,0,No
73,19,1,0,No
86,19,0,0,No
99,17,0,0,No
97,18,0,0,Yes
95,14,0,1,No
98,12,1,0,Yes
77,12,1,1,No
97,9,1,0,Yes
89,10,1,1,No
89,14,1,0,No
85,14,1,0,No
82,13,1,0,No
76,16,1,1,No
91,15,1,0,No
78,16,0,0,No
82,16,0,0,No
89,16,0,0,No
92,12,0,1,No
91,12,0,1,No
99,11,0,0,Yes
86,14,0,1,Yes
93,11,0,1,No
93,11,1,1,Yes
85,14,1,1,No
99,13,1,0,No
99,15,1,1,No
99,15,1,0,No
99,16,1,0,No
98,15,1,0,No
81,16,0,0,No
92,15,0,0,No
99,14,0,0,No
99,15,0,0,No
98,14,0,0,Yes
85,14,0,1,Yes
84,11,0,1,Yes
94,10,0,1,Yes
85,11,0,1,No
93,8,0,0,Yes
94,9,0,1,No
78,11,1,0,Yes
85,11,1,1,No
83,10,1,0,No
91,9,1,0,Yes
99,12,1,1,No
95,12,1,0,No
78,14,1,0,No
86,11,1,0,Yes
92,11,0,1,Yes
99,14,0,1,No
99,16,0,1,No
75,17,0,0,No
56,15,0,0,No
72,14,0,0,No
93,9,0,1,Yes
99,13,0,1,Yes
99,14,0,1,No
99,14,0,0,No
99,13,0,0,No
92,14,0,0,No
89,16,0,1,No
96,14,1,1,No
92,19,1,0,No
90,20,1,0,No
92,21,1,1,No
64,22,1,0,No
65,20,1,0,Yes
99,12,1,1,Yes
96,11,0,1,Yes
95,12,0,1,Yes
89,10,0,1,Yes
89,10,1,1,Yes
84,16,0,1,No
74,16,1,0,No
91,13,1,0,No
88,17,1,0,Yes
86,13,1,1,No
80,19,1,1,Yes
95,12,1,1,Yes
90,10,1,1,No
88,19,1,1,No
62,17,1,0,No
79,18,1,0,No
79,17,1,0,No
99,16,1,0,No
99,17,1,0,No
99,20,0,0,No
99,16,0,0,No
71,16,0,0,No
72,16,0,0,No
80,15,0,0,No
99,15,0,0,No
87,15,0,0,No
82,18,0,0,No
65,20,0,0,No
71,19,0,0,No
65,16,0,0,Yes
86,21,0,1,Yes
55,18,1,1,No
78,14,1,1,No
74,15,1,0,No
70,14,0,0,No
79,32,0,1,Yes
48,32,0,1,Yes
55,32,0,1,Yes
54,15,1,1,Yes
83,20,0,1,No
72,17,1,0,No
78,20,1,0,No
78,21,1,0,No
52,23,1,0,No
70,29,1,0,No
73,13,0,1,Yes
99,18,0,1,No
81,22,0,0,No
65,18,0,0,No
69,18,0,0,No
53,19,0,1,No
